bad_account,fail_count,pool,role
4Vc6N76UBu26c3jJDKBAbvSD7zPLuQWStBk7QgVEoeoS,2,unknown,unknown
4Vzk2yQo7Eynx1hmBRD3jAFFSwTUU6kNeb2ES2KL9EK6,2,unknown,unknown
4xZYFLR2eyo2vrfsGuJZEPsgZafamE9fFPJ5wYJDW6nU,2,unknown,unknown
53QtjGY8tueZ3tQVY3kJ8PMF8joP5etj4EQtxPqm647R,2,unknown,unknown
5DJ9o1fRVMMGuxnHEYGKhiUyKxb9TxQbQkxiiwhDqtQv,2,unknown,unknown
5Dw9fqeipoVpU3wLRVgD23JGkRBstoiz1oaP6WbYWGG8,2,unknown,unknown
6KX9iiLFBcwfjq3uMqeeMukaMZt5rQYTsbZZTnxbzsz6,2,unknown,unknown
6euoT4kMY9B7UU3d9GSs6XDknsRRfC7Pum92AAxxQfLp,2,unknown,unknown
6nD6d8gG17wakW6Wu5URktBZQp3uxp5orgPa576QXigJ,2,unknown,unknown
6vK8gSiRHSnZzAa5JsvBF2ej1LrxpRX21Y185CzP4PeA,2,unknown,unknown
6wenLwaQbGe1foXWyrQeM3yL4CbD4euQHgeGypJfpudY,2,unknown,unknown
79mhWQ3ppuBeVNikPoazsCorSiUZEAg3H7dgkdqzVU8x,2,unknown,unknown
7rXsNqBkFoiNPJYxhZHu9EGUMsY4j4tA2DhefvNbzQzs,2,unknown,unknown
92HHCGVVAMqvWbx9G6GepBamqBWEFJuz3nwBn7k5pYaR,2,unknown,unknown
AHTTzwf3GmVMJdxWM8v2MSxyjZj8rQR6hyAC3g9477Yj,2,unknown,unknown
ATUMydDvNcELzNk9GP1Ky7i2Mgx2t2ej5aNPMhA6F2VH,2,unknown,unknown
BW6oeFZogVBeZq4cej73nU36qGSXdFN7hWQdNVgjUDNU,2,unknown,unknown
Bms2Rwp2dSsyfYY87neddNT3754BzPNYdEMkcx4qo99X,2,unknown,unknown
CYwKjPiuzG4NgWBy8JDjcmoUMmVExDtVjxS4X1nGYT5a,2,unknown,unknown
ChcWkmUbWDbBspDjPX6ZXi7Hb9kZ7VTbNUf6nMtWF1YH,2,unknown,unknown
DP74UAcVaMuYaAf4PTKobTyzERoMsFCUE3UFnsqnKcwh,2,unknown,unknown
DYFQehJvGeswpHgHaBt1onreDCRWY6V73gNojHmYvExz,2,unknown,unknown
DZh162iMrPgBTp2y3XfxvAVwhgCibwEYpcTHfVCLRDNx,2,unknown,unknown
DgXDDXvS6xowgKY42WoFAqSJRZCww1rzpsauEq5hcPxF,2,unknown,unknown
DnjwFMvwiLBABws6JpVpAUTyBV9wmucjAMxdnxAVFH92,2,unknown,unknown
FRhB8L7Y9Qq41qZXYLtC2nw8An1RJfLLxRF2x9RwLLMo,2,unknown,unknown
FZN7QZ8ZUUAxMPfxYEYkH3cXUASzH8EqA6B4tyCL8f1j,2,unknown,unknown
FeFgcWCxBx15ESeh5ahaXi4jujxk2HrQD1RqaRqYxgpf,2,unknown,unknown
H6iHb3PKqeFeY8rDw6SXY97NsCKCzPGgYLMzTnGQ9e1,2,unknown,unknown
Hhb4k1k8qr74nD1n5nmfR6iVihHpACPp4hKm72YdWm2q,2,unknown,unknown
HnSfHKPXC1nrtwgCBZtSzkzps9UMpARYGFEL2pHTAC62,2,unknown,unknown
HoAiKLm63QuGqE6pXVFsuF2rKXTKPrcsSgX3HCpuKNQb,2,unknown,unknown
Hz1EtXTGaFEtAWRgRNpDMFV6vnSZtQUY9UqmdM6vfKSS,2,unknown,unknown
JfxLQasRhePQSP1gLt67xYFXdZCXH4vg1yXA3RxuoBU,2,unknown,unknown
TACz1NnifoPsuZndfAiYxzfffcXCZSsJG7mKzdacTZi,2,unknown,unknown
UnaHXXCKqhMmhDa6DJVwDqfcAW4YN4MquAf368Sydch,2,unknown,unknown
n6CwMY77wdEftf2VF6uPvbusYoraYUci3nYBPqH1DJ5,2,unknown,unknown
1AYhhyFGHqS9ujQF4Wjc67FGYzqHdmvUvsVhdAJ4eZz,1,unknown,unknown
2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,1,unknown,unknown
2w6WUGXVeUPeGpJTUSNu4btbpMkFtmjrQgpKi149it7K,1,unknown,unknown
33QePMtgj6t36VD24ec8k5QKfuTvNF1CDDW61VyNaXGJ,1,unknown,unknown
3AsJZQY3jtZwqBfbTUQ4xKDVwmdz2ufdKMsnxN9K5L3S,1,unknown,unknown
3HWcojnC1ruEMmsE92Ez1BoebdDXzYQa4USaeWX7eTuM,1,unknown,unknown
3dKsxXJuGKeUnhvGgapb1yhGXRyf587vZbhiCXMpYUEA,1,unknown,unknown
3uBAzjhC81GUiWQyrfWkLAFv3M1szswdCfwExM14wNMf,1,unknown,unknown
46mdANZ2DCA2sTFchvD7WwbffbLQa4jCFkkRL23WuYG8,1,unknown,unknown
4WbL8FAxfACzopRt2UX1z1no9fK72RkrBxbL7BMCMP1t,1,unknown,unknown
5R9MJRz11myX8XiDvL51QJePr64jhQ5FfRVuLqEeVBES,1,unknown,unknown
