key,pubkey,seen_count,first_seen_unix,last_seen_unix,severity,classification,action,pool,role,dex
C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg:C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg:pool:live_state_stale,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,3,1781356025,1781356026,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,pool,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
CMS5aWYe3Br4yctgjuew29QjRbAkve1QzNxiUn9L9zYD::unknown:live_state_stale,CMS5aWYe3Br4yctgjuew29QjRbAkve1QzNxiUn9L9zYD,2,1781355777,1781355777,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
CMghWj6TEDfGTN5CSzo9p27kPMb73fsDPM22LqTe2C9y:2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV:tokenAccountB:live_state_stale,CMghWj6TEDfGTN5CSzo9p27kPMb73fsDPM22LqTe2C9y,14,1781354224,1781356172,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV,tokenAccountB,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF
CNRQ2Q5YURFcQrATzYeKUWgKUoBDfqzkDrRWf21UXCVo:8sjV1AqBFvFuADBCQHhotaRq5DFFYSjjg1jMyVWMqXvZ:tokenAccountA:live_state_stale,CNRQ2Q5YURFcQrATzYeKUWgKUoBDfqzkDrRWf21UXCVo,15,1781354165,1781356800,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,8sjV1AqBFvFuADBCQHhotaRq5DFFYSjjg1jMyVWMqXvZ,tokenAccountA,MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms
CQUfYBxF2KFVjYyCPyGa7JCFX9zw2PwmNnECzY3merGA:9xPhpwq6GLUkrDBNfXCbnSP9ARAMMyUQqgkrqaDW6NLV:tokenAccountA:live_state_stale,CQUfYBxF2KFVjYyCPyGa7JCFX9zw2PwmNnECzY3merGA,2,1781354382,1781354383,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,9xPhpwq6GLUkrDBNfXCbnSP9ARAMMyUQqgkrqaDW6NLV,tokenAccountA,ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA
CRKZr6Y9t2hzVNWY4gJk5eig8uznyykB4RTuGSqJDw7n:DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ:tokenAccountA:live_state_stale,CRKZr6Y9t2hzVNWY4gJk5eig8uznyykB4RTuGSqJDw7n,3,1781354438,1781354598,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,tokenAccountA,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq
CRo8DBwrmd97DJfAnvCv96tZPL5Mktf2NZy2ZnhDer1A:65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc:tokenAccountA:normal,CRo8DBwrmd97DJfAnvCv96tZPL5Mktf2NZy2ZnhDer1A,10,1781354225,1781356201,needs_grpc_live_state,normal,none,65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,tokenAccountA,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF
CZ1Qrv8XSETonRHAUkXJ6XKfWf9PBT6w11qkr5Zxsb8R::unknown:live_state_stale,CZ1Qrv8XSETonRHAUkXJ6XKfWf9PBT6w11qkr5Zxsb8R,5,1781354300,1781354655,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
CZfrCHhBb9zzhFyM5Weqg53oCBdxkYBPSU5k1wTR9hdu::unknown:live_state_stale,CZfrCHhBb9zzhFyM5Weqg53oCBdxkYBPSU5k1wTR9hdu,3,1781355440,1781355441,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
Ce8WKGKeNPrtk85inFtkpskekaNibZiogSZBrcP7yhTN:Ce8WKGKeNPrtk85inFtkpskekaNibZiogSZBrcP7yhTN:pool:live_state_stale,Ce8WKGKeNPrtk85inFtkpskekaNibZiogSZBrcP7yhTN,1,1781356237,1781356237,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,Ce8WKGKeNPrtk85inFtkpskekaNibZiogSZBrcP7yhTN,pool,TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH
